model_id,architecture,corner,ccell_ff,temp_c,vdd,fpitch_m,t_ret_s,t_refresh_s,t_rcd_s,t_wr_s,e_read_j,e_write_j,i_leak_a,i_leak_density_a_m2,source,simulator
VCT_125,VCT,hot,30.0,85.0,0.9,6e-08,2.826645495117034e-05,4.0779874381564735e-05,1.0934103799999999e-08,-9.957539999999996e-11,1.2697839089999998e-19,8.42649421e-18,5.30664352e-11,14740.676444444447,derived_from_golden_bench,
VCT_125,VCT,hot,50.0,85.0,0.9,6e-08,4.7110758251950575e-05,6.796645730260791e-05,1.0934103799999999e-08,-9.957539999999996e-11,1.2697839089999998e-19,8.42649421e-18,5.30664352e-11,14740.676444444447,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,hot,10.0,85.0,0.75,2.2e-08,3.09963744904599e-05,4.471831576292367e-05,1.08885746e-08,-9.967644000000008e-11,1.371829455e-19,3.21736157e-17,1.61309188e-11,33328.34462809918,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,hot,15.0,85.0,0.75,2.2e-08,4.649456173568985e-05,6.707747364438551e-05,1.08885746e-08,-9.967644000000008e-11,1.371829455e-19,3.21736157e-17,1.61309188e-11,33328.34462809918,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,hot,20.0,85.0,0.75,2.2e-08,6.19927489809198e-05,8.943663152584734e-05,1.08885746e-08,-9.967644000000008e-11,1.371829455e-19,3.21736157e-17,1.61309188e-11,33328.34462809918,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,hot,30.0,85.0,0.75,2.2e-08,9.29891234713797e-05,0.00013415494728877101,1.08885746e-08,-9.967644000000008e-11,1.371829455e-19,3.21736157e-17,1.61309188e-11,33328.34462809918,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,hot,50.0,85.0,0.75,2.2e-08,0.0001549818724522995,0.00022359157881461834,1.08885746e-08,-9.967644000000008e-11,1.371829455e-19,3.21736157e-17,1.61309188e-11,33328.34462809918,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,hot,10.0,85.0,0.75,6e-08,1.5885184983725739e-06,2.291747759962495e-06,1.09943887e-08,-9.908206999999995e-11,1.0120236149999999e-19,2.2628333199999997e-17,3.14758689e-10,87432.96916666669,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,hot,15.0,85.0,0.75,6e-08,2.382777747558861e-06,3.437621639943743e-06,1.09943887e-08,-9.908206999999995e-11,1.0120236149999999e-19,2.2628333199999997e-17,3.14758689e-10,87432.96916666669,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,hot,20.0,85.0,0.75,6e-08,3.1770369967451478e-06,4.58349551992499e-06,1.09943887e-08,-9.908206999999995e-11,1.0120236149999999e-19,2.2628333199999997e-17,3.14758689e-10,87432.96916666669,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,hot,30.0,85.0,0.75,6e-08,4.765555495117722e-06,6.875243279887486e-06,1.09943887e-08,-9.908206999999995e-11,1.0120236149999999e-19,2.2628333199999997e-17,3.14758689e-10,87432.96916666669,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,hot,50.0,85.0,0.75,6e-08,7.94259249186287e-06,1.1458738799812476e-05,1.09943887e-08,-9.908206999999995e-11,1.0120236149999999e-19,2.2628333199999997e-17,3.14758689e-10,87432.96916666669,derived_from_golden_bench,
